coucou c toto,
Menu: Main Menu,
Please ensure the SD card is formatted correctly using https://www.sdcard.org/downloads/formatter/,
Config file read failed: SD offline,
Artemis OpenLog v2.2,
SD card offline,
Datalogging offline,
Serial logging offline,
IMU online,
Identifying Qwiic Muxes...,
Identifying Qwiic Devices...,
No Qwiic devices detected,
rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,,
01/01/2000,02:00:28.63,6.35,74.71,1024.90,0.28,0.07,1.48,-10.20,-77.55,71.10,26.50,0.0,,
01/01/2000,02:00:28.73,-7.32,73.73,1006.35,-1.66,0.74,-1.92,-11.70,-78.30,70.35,26.45,20.0,,
01/01/2000,02:00:28.83,7.32,68.85,1020.51,-2.05,1.31,0.89,-11.10,-75.75,70.20,26.45,15.0,,
01/01/2000,02:00:28.93,-6.35,60.06,1017.58,0.73,-2.83,2.56,-11.70,-77.10,69.0,26.06,13.333,,
01/01/2000,02:00:29.03,11.23,72.75,1021.97,0.97,-1.40,1.02,-10.95,-77.10,69.75,26.40,12.500,,
01/01/2000,02:00:29.13,-5.37,62.01,1025.88,-0.18,-2.67,1.53,-9.90,-75.90,70.35,26.26,12.0,,
01/01/2000,02:00:29.23,-14.65,63.48,1024.90,-1.01,-3.63,0.12,-12.30,-76.95,71.70,26.30,11.667,,
01/01/2000,02:00:29.33,-1.46,67.38,1011.23,0.59,-0.89,1.01,-10.95,-77.55,70.35,26.45,11.429,,
01/01/2000,02:00:29.43,-7.81,72.27,1020.02,-0.34,-3.82,-1.48,-11.10,-76.50,69.90,26.45,11.250,,
01/01/2000,02:00:29.53,-0.98,81.54,1015.14,0.63,-0.23,-4.27,-10.65,-75.15,70.80,26.30,11.111,,
01/01/2000,02:00:29.63,10.25,68.85,1021.48,-0.23,-2.98,-0.17,-10.95,-76.65,70.05,26.50,11.0,,
01/01/2000,02:00:29.73,1.46,65.43,1024.90,-1.69,0.90,1.88,-10.35,-75.75,70.20,26.50,10.811,,
01/01/2000,02:00:29.83,3.42,71.29,1019.53,1.74,0.11,8.90,-12.0,-76.65,70.80,26.50,10.744,,
01/01/2000,02:00:29.93,13.18,71.29,1004.88,-0.47,-1.27,3.88,-12.60,-76.95,70.95,26.50,10.687,,
01/01/2000,02:00:30.03,-2.44,62.01,1015.14,-3.53,-0.43,0.89,-10.95,-77.55,70.35,26.64,10.638,,
