coucou c totoSD init failed (second attempt). Is card present? Formatted?,
Please ensure the SD card is formatted correctly using https://www.sdcard.org/downloads/formatter/,
Config file read failed: SD offline,
Artemis OpenLog v2.2,
SD card offline,
Datalogging offline,
Serial logging offline,
IMU online,
Identifying Qwiic Muxes...,
Identifying Qwiic Devices...,
No Qwiic devices detected,
rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,,
01/01/2000,02:12:16.27,65.92,-77.15,1019.53,1.83,-4.92,1.73,-12.75,-72.15,68.55,25.54,100.0,,
01/01/2000,02:12:16.37,100.59,-43.46,981.93,1.38,-3.08,-4.53,-13.35,-72.75,67.35,25.92,18.182,,
01/01/2000,02:12:16.47,86.43,-37.11,970.21,3.87,-6.27,-0.41,-13.95,-72.90,68.25,25.87,14.286,,
01/01/2000,02:12:16.57,105.96,-76.17,979.00,3.44,-4.81,-0.22,-13.50,-73.65,67.50,25.92,12.903,,
01/01/2000,02:12:16.68,85.94,-45.41,967.77,2.25,-3.23,-1.15,-13.50,-72.15,68.55,25.73,12.195,,
01/01/2000,02:12:16.78,73.24,-50.78,986.82,1.89,-3.88,4.44,-14.10,-73.05,69.45,25.87,11.765,,
01/01/2000,02:12:16.88,70.80,-69.34,1023.93,-1.13,-1.57,2.13,-14.40,-73.50,68.10,25.87,11.475,,
01/01/2000,02:12:16.98,66.41,-51.27,995.61,-4.68,-0.69,2.55,-14.85,-71.55,67.65,25.68,11.268,,
01/01/2000,02:12:17.08,69.82,-72.75,1013.67,-3.07,0.85,2.63,-14.70,-74.10,67.80,26.06,11.111,,
01/01/2000,02:12:17.18,138.18,-51.27,1032.71,-4.07,2.02,-0.22,-15.45,-73.65,68.25,25.78,10.989,,
01/01/2000,02:12:17.28,99.12,-103.52,1057.62,-4.63,4.44,1.11,-14.85,-72.75,66.90,25.97,10.891,,
01/01/2000,02:12:17.38,121.58,-67.38,1043.46,-2.92,3.47,1.07,-13.05,-73.80,67.65,25.78,10.811,,
01/01/2000,02:12:17.48,137.70,-58.59,1100.10,-5.10,4.49,1.57,-14.10,-73.80,67.35,25.87,10.744,,
01/01/2000,02:12:17.58,90.82,-101.07,1027.83,-4.88,2.61,-2.21,-12.75,-74.40,68.25,25.68,10.687,,
01/01/2000,02:12:17.68,41.50,-123.54,1050.29,-5.07,1.98,-2.81,-14.70,-74.85,67.20,25.54,10.638,,
01/01/2000,02:12:17.78,104.98,-71.78,1028.32,-4.16,1.69,-4.16,-13.05,-75.0,67.65,25.87,10.596,,
01/01/2000,02:12:17.88,87.89,-10.25,1053.22,-2.88,2.04,1.58,-11.70,-74.85,67.20,25.97,10.559,,
01/01/2000,02:12:17.98,22.95,-62.50,943.85,1.56,1.04,-1.13,-12.75,-75.90,67.80,25.73,10.526,,
01/01/2000,02:12:18.08,107.42,-70.80,1012.70,1.21,-1.96,-0.90,-12.75,-76.35,67.50,25.78,10.497,,
01/01/2000,02:12:18.18,85.94,-74.22,1020.51,4.38,-6.15,3.35,-12.30,-74.25,67.65,25.87,10.471,,
01/01/2000,02:12:18.28,68.36,-58.11,994.14,7.57,-3.72,3.44,-13.95,-74.40,67.80,25.97,10.448,,
01/01/2000,02:12:18.38,45.41,-78.13,1267.09,12.57,-0.67,-1.34,-13.35,-74.25,66.90,25.54,10.427,,
